x
-1 1
1 -28825 19093
2 -20975 22593
3 -17061 23974
4 -23027 6430
5 -4415 19319
6 -15088 16012
7 -24109 6685
8 -9285 19070
9 -17115 8991
10 -17799 3961
11 -2961 17099
12 -14302 11565
13 -10510 11374
14 -10478 8769
15 -24226 -1201
16 -2504 11443
17 -10163 11643
18 -12871 8286
19 -1347 17912
20 -2817 14368
21 -1690 12381
22 -14926 2154
23 -9778 5447
24 -14313 1507
25 -7415 7129
26 -13395 69
27 -2426 12503
28 -6735 7719
29 -4449 8671
30 -1354 13179
31 8908 21250
32 -8677 4159
33 -8903 4029
34 -15262 -1900
35 -7761 4274
36 -5387 6834
37 -8266 2953
38 -2509 10223
39 3240 15539
40 -8128 4578
41 -7967 4177
42 -3180 7449
43 -3963 13764
44 -3951 5925
45 -11031 273
46 -15453 -5776
47 100 9586
48 -7606 2051
49 -3149 6163
50 -3408 5875
51 -4931 6517
52 -1516 8574
53 3092 15240
54 -5988 5757
55 -6036 2323
56 -8026 1593
57 -3010 7071
58 -2630 8125
59 -2848 5376
60 -6100 3760
61 2892 10147
62 -4669 4238
63 -3777 5318
64 -4025 4451
65 -1906 6112
66 800 10485
67 -4297 3044
68 -2328 7013
69 -4600 4846
70 -1644 6222
71 -1889 5652
72 -2278 6148
73 -836 7980
74 -1423 8124
75 -4643 1987
76 -1418 5749
77 -4862 3269
78 -2813 5005
79 -4000 4077
80 -2445 5537
81 -4017 2698
82 -5909 4454
83 -4297 3393
84 -6518 1079
85 -4284 2108
86 -2160 4954
87 -2268 3853
88 -5005 4021
89 -3362 4618
90 -4135 4393
91 -2324 3200
92 -1685 6012
93 -5247 3471
94 -3428 3878
95 -2330 3760
96 -3998 4389
97 -1284 4092
98 -3551 3388
99 -4335 3383
100 -2082 4873
101 -2259 3680
102 -5278 1876
103 -1035 4483
104 -1030 4914
105 -3473 2790
106 -4715 1319
107 -3156 4472
108 -4296 3048
109 -2970 2891
110 -2545 3827
111 -2759 3129
112 -2950 2982
113 -3084 3396
114 -3093 2782
115 -2410 2512
116 -2245 2568
117 -1978 2559
118 -4137 2680
119 -2299 3663
120 -1064 4343
121 -2309 2552
122 -4871 1649
123 -3878 1202
124 -1599 3276
125 -1780 3664
126 -1853 3195
127 -3733 3173
128 -2898 2213
